"SECTOR","ndvi","elevation","ambnt_nm_x","ambnt_nm_y","AVE_PERI","AVE_INTRA","CUY_PERI","CUY_INTRA","PER_PER","PER_INT","GAT_PER","GAT_INT","AVE_INTRA_","CUY_INTRA_","AVE_PERI_","CUY_PERI_","n_femal","n_male","fumigad","rastros","cap_ttl","pos_ttl","INF","POS","ADOB","ADOB_RE","CARR","TEJ","TEL","PLAS","NOBL","LADR_NO","CALAM","n_people"
"LAS TORRES",0.2611,2273.72,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","1","0","0","1","0","1",0
"CARPACHACA",0.3605,2313.83,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","1","0","1",0
"CARPACHACA",0.3605,2327.6,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"0","0","0","0","0","0","0","1","0",0
"CARPACHACA",0.3605,2323.8,"NO_ANIMAL_INTRA","CORRAL",18,0,0,0,0,0,0,0,"0","0","1","0",1,2,"NO","0",0,0,0,0,"0","0","0","0","0","0","1","0","1",3
"CARPACHACA",0.3605,2328.16,"CORRAL","PATIO",0,0,0,20,1,0,0,0,"0","1","0","0",1,2,"NO","0",0,0,0,0,"1","0","0","0","0","0","1","0","1",3
"CARPACHACA",0.2632,2350.77,"NO_ANIMAL_INTRA","PATIO",20,0,0,0,0,0,0,0,"0","0","1","0",1,1,"NO","0",0,0,0,0,"1","0","0","0","0","1","1","0","1",2
"LAS TORRES",0.3125,2316.04,"COCINA","PATIO",20,0,0,0,2,0,0,1,"0","0","1","0",1,1,"SI","0",0,0,0,0,"1","0","0","1","0","0","1","0","1",2
"CARPACHACA",0.2632,2360.57,"NO_ANIMAL_INTRA","PATIO",12,0,20,0,2,0,2,0,"0","0","1","1",2,2,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","0",4
"CARPACHACA",0.3057,2389.5,"NO_ANIMAL_INTRA","PATIO",0,0,0,0,1,0,0,0,"0","0","0","0",2,2,"NO","0",0,0,0,0,"1","0","1","0","0","0","1","0","1",4
"CARPACHACA",0.3605,2347.19,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","1","0","1",0
"PAMPA AMARILLA",0.4367,2352.03,"NO_ANIMAL_INTRA","PATIO",20,0,0,0,2,0,1,0,"0","0","1","0",1,1,"NO","0",0,0,0,0,"1","0","0","0","0","0","1","0","1",2
"PAMPA AMARILLA",0.2233,2359.17,"COCINA","PATIO",0,0,0,15,7,0,0,0,"0","1","0","0",1,1,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",2
"PAMPA AMARILLA",0.2233,2366.97,"COCINA","PATIO",49,0,0,8,6,0,2,0,"0","1","1","0",2,3,"NO","0",0,0,0,0,"0","0","0","0","0","0","0","0","0",5
"PAMPA AMARILLA",0.5219,2331.17,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",0
"PAMPA AMARILLA",0.2547,2351.61,"COCINA","PATIO",12,0,0,49,6,0,0,1,"0","1","1","0",1,1,"SI","0",0,0,0,0,"1","0","0","0","0","0","0","0","0",2
"PAMPA AMARILLA",0.2511,2365.02,"NO_ANIMAL_INTRA","CORRAL",10,0,15,0,2,0,0,0,"0","0","1","1",2,1,"SI","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",3
