"SECTOR","ndvi","elevation","ambnt_nm_x","ambnt_nm_y","AVE_PERI","AVE_INTRA","CUY_PERI","CUY_INTRA","PER_PER","PER_INT","GAT_PER","GAT_INT","AVE_INTRA_","CUY_INTRA_","AVE_PERI_","CUY_PERI_","n_femal","n_male","fumigad","rastros","cap_ttl","pos_ttl","INF","POS","ADOB","ADOB_RE","CARR","TEJ","TEL","PLAS","NOBL","LADR_NO","CALAM","n_people"
"PENCALOMA",0.05,2113.5,"COCINA","NO_ANIMAL_PERI",0,0,0,20,0,0,0,0,"0","1","0","0",1,0,"NO","1",0,0,0,0,"1","0","0","0","0","0","0","0","0",1
"PENCALOMA",0.05,2099.35,"COCINA","CORRAL",0,0,0,30,3,0,0,0,"0","1","0","0",0,0,"NO","1",0,0,0,0,"1","0","0","0","0","0","0","0","0",0
"TAYA LALIN",0.0693,1976.9,"DORMITORIO","NO_ANIMAL_PERI",0,2,0,12,0,0,0,0,"1","1","0","0",1,0,"NO","0",6,0,1,0,"1","0","0","0","0","0","0","0","0",1
"PENCALOMA",0.0315,2025.04,"CORRAL","NO_ANIMAL_PERI",0,0,0,20,0,0,0,0,"0","1","0","0",1,0,"NO","1",28,10,1,1,"1","0","0","0","0","0","0","0","0",1
"PENCALOMA",0.1024,2130.88,"CORRAL","PATIO",12,0,0,18,3,0,0,0,"0","1","1","0",1,2,"NO","0",0,0,0,0,"1","1","0","0","0","0","0","0","0",3
"LOS OLIVOS",0.8276,2048.35,"COCINA","PATIO",20,0,0,24,0,0,0,0,"0","1","1","0",1,1,"NO","1",9,0,1,0,"1","0","0","1","0","1","1","0","1",2
"PENCALOMA",0.0577,2127.16,"NO_ANIMAL_INTRA","PATIO",0,0,0,0,0,0,1,0,"0","0","0","0",0,1,"SI","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",1
"TAYA LALIN",0.0693,2023.75,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",0
"PENCALOMA",0.0315,2045.84,"COCINA","PATIO",5,0,0,25,4,0,1,0,"0","1","1","0",2,1,"NO","0",0,0,0,0,"1","0","0","0","0","1","0","0","1",3
"LOS OLIVOS",0.8276,2024.03,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","1","0","1",0
"LOS OLIVOS",0.8276,2056.7,"CORRAL","PATIO",67,3,0,30,1,0,2,0,"1","1","1","0",1,3,"SI","0",0,0,0,0,"1","0","1","1","0","0","1","0","1",4
"PENCALOMA",0.0577,2125.21,"NO_ANIMAL_INTRA","PATIO",15,0,0,0,1,0,1,0,"0","0","1","0",2,1,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",3
"PENCALOMA",0.0577,2110.35,"CORRAL","PATIO",0,0,0,35,2,0,2,0,"0","1","0","0",3,0,"NO","1",0,0,0,0,"1","0","0","0","0","0","0","0","1",3
"LOS OLIVOS",0.6563,2048.31,"DEPOSITO_SALA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","1",7,0,1,0,"1","0","1","1","0","0","0","0","0",0
"TAYA LALIN",0.0693,2097.39,"NO_ANIMAL_INTRA","PATIO",8,0,0,0,2,0,1,0,"0","0","1","0",2,2,"SI","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",4
"TAYA LALIN",0.0693,2051.63,"COCINA","NO_ANIMAL_PERI",0,0,0,15,0,0,0,1,"0","1","0","0",0,3,"NO","0",0,0,0,0,"1","0","0","1","0","0","1","0","1",3
"LOS OLIVOS",0.6563,2064.14,"COCINA_CUYERO","PATIO",12,0,0,12,2,0,0,2,"0","1","1","0",1,1,"NO","1",16,3,1,1,"1","0","0","0","0","0","1","0","0",2
"LOS OLIVOS",0.4306,2064.35,"NO_ANIMAL_INTRA","PATIO",0,0,10,0,6,0,1,0,"0","0","0","1",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","1","0","1",0
"TAYA LALIN",0.0867,2177.74,"CORRAL","PATIO",15,0,0,0,2,0,1,0,"0","0","1","0",2,2,"NO","0",0,0,0,0,"1","0","0","0","0","1","1","0","1",4
"TAYA LALIN",0.0329,2069.91,"COCINA","NO_ANIMAL_PERI",0,0,0,1,0,0,0,0,"0","1","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","0",0
"PENCALOMA",0.0577,2174.13,"NO_ANIMAL_INTRA","PATIO",10,0,0,0,2,0,0,0,"0","0","1","0",2,2,"SI","0",0,0,0,0,"1","0","0","0","0","0","1","0","1",4
"HUABAMAYO",0.7053,2066.24,"NO_ANIMAL_INTRA","PATIO",20,0,25,0,1,0,2,0,"0","0","1","1",1,1,"SI","0",0,0,0,0,"1","0","0","0","0","0","1","0","1",2
"PENCALOMA",0.6209,2187.36,"COCINA","NO_ANIMAL_PERI",0,0,0,1,0,0,0,0,"0","1","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","0",0
"PENCALOMA",0.0577,2197.66,"CORRAL","PATIO",4,0,0,20,1,0,1,0,"0","1","1","0",3,2,"NO","0",0,0,0,0,"1","0","0","0","0","0","1","0","1",5
"PENCALOMA",0.0433,2161.25,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","1","1","0","1","1","0","1",0
"LOS OLIVOS",0.7053,2085.47,"NO_ANIMAL_INTRA","PATIO",13,0,0,0,4,0,1,0,"0","0","1","0",1,2,"NO","1",0,0,0,0,"1","0","0","0","0","0","0","0","1",3
"TAYA LALIN",0.0329,2109.85,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","0",0
"LOS OLIVOS",0.7053,2099.73,"CORRAL","PATIO",20,4,0,30,2,0,1,0,"1","1","1","0",1,1,"NO","1",2,0,1,0,"1","0","0","0","0","1","1","0","1",2
"LOS OLIVOS",0.6151,2087.33,"CORRAL","PATIO",20,0,0,49,3,0,1,0,"0","1","1","0",2,1,"SI","1",2,0,1,0,"1","0","0","0","0","0","1","0","1",3
"TAYA LALIN",0.0329,2094.24,"DEPOSITO","CORRAL",0,10,0,49,2,0,0,0,"1","1","0","0",0,0,"SI","0",0,0,0,0,"1","0","1","1","0","0","1","0","1",0
"TAYA LALIN",0.0233,2156.94,"COCINA","PATIO",3,0,0,0,4,0,0,1,"0","0","1","0",1,0,"NO","0",0,0,0,0,"1","0","1","0","0","0","0","0","1",1
"TAYA LALIN",0.1637,2174.58,"COCINA","CORRAL",1,0,0,15,0,0,0,0,"0","1","1","0",0,1,"NO","0",0,0,0,0,"1","0","0","0","0","1","0","0","1",1
"AULLAN CENTRO",0.6068,2138.88,"NO_ANIMAL_INTRA","PATIO",5,0,0,0,0,0,0,0,"0","0","1","0",1,2,"NO","0",0,0,0,0,"1","0","1","0","0","0","1","0","1",3
"TAYA LALIN",0.0236,2124.5,"DORMITORIO_COCINA_CORRAL","PATIO",9,0,0,9,2,0,0,0,"0","1","1","0",2,1,"NO","0",0,0,0,0,"1","0","1","0","0","0","0","0","1",3
"AULLAN CENTRO",0.6068,2156.73,"COCINA","PATIO",0,0,0,42,3,0,0,3,"0","1","0","0",0,1,"NO","0",3,1,1,1,"1","0","0","0","0","0","0","0","0",1
"PENCALOMA",0.3274,2248.38,"COCINA","PATIO",0,0,0,30,0,0,1,0,"0","1","0","0",4,0,"NO","0",0,0,0,0,"1","0","0","0","0","1","1","0","1",4
"LOS OLIVOS",0.6584,2116.62,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",1,0,1,0,"1","0","0","0","0","0","1","0","1",0
"LAS TORRES",0.4357,2103.4,"NO_ANIMAL_INTRA","PATIO",6,0,30,0,2,0,1,0,"0","0","1","1",1,1,"NO","0",2,0,1,0,"1","0","0","0","0","0","1","0","0",2
"LAS TORRES",0.5609,2119.73,"NO_ANIMAL_INTRA","PATIO",3,0,4,0,1,0,1,0,"0","0","1","1",1,1,"NO","0",0,0,0,0,"1","0","0","0","0","1","1","0","1",2
"LOS OLIVOS",0.6584,2107.86,"CORRAL","PATIO",40,0,0,15,3,0,3,0,"0","1","1","0",1,1,"SI","0",0,0,0,0,"1","0","1","0","0","1","1","0","1",2
"AULLAN CENTRO",0.6584,2152.17,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","1",0,0,0,0,"1","0","0","0","0","0","0","0","1",0
"AULLAN CENTRO",0.6068,2171.33,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",0
"CARPACHACA",0.5489,2226.99,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",0
"AULLAN CENTRO",0.6584,2151.55,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",4,0,"NO","1",3,0,1,0,"1","0","1","0","0","0","1","0","1",4
"AULLAN CENTRO",0.6584,2159.13,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",0
"AULLAN CENTRO",0.6584,2169.11,"DORMITORIO","NO_ANIMAL_PERI",0,1,0,12,0,0,0,0,"1","1","0","0",1,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","1","0","1",1
"AULLAN CENTRO",0.6068,2202.44,"CORRAL","PATIO",0,15,0,0,1,0,2,0,"1","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",0
"LOS OLIVOS",0.6151,2132.84,"NO_ANIMAL_INTRA","PATIO",49,0,0,0,0,0,0,0,"0","0","1","0",1,1,"NO","1",1,0,1,0,"1","0","0","0","0","0","0","0","0",2
"AULLAN CENTRO",0.6068,2215.97,"COCINA","NO_ANIMAL_PERI",0,0,0,10,0,0,0,0,"0","1","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","0",0
"AULLAN CENTRO",0.6068,2208.77,"COCINA","PATIO",20,0,0,49,3,0,0,0,"0","1","1","0",3,2,"SI","1",22,3,1,1,"1","0","0","0","1","1","0","0","1",5
"CARPACHACA",0.5489,2207.9,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",0
"AULLAN CENTRO",0.6068,2209.01,"DEPOSITO","PATIO",15,0,0,0,0,5,0,0,"0","0","1","0",0,0,"SI","1",2,0,1,0,"1","0","0","0","0","0","1","0","1",0
"LAS TORRES",0.4159,2145.75,"COCINA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,1,"0","0","0","0",0,1,"NO","1",0,0,0,0,"1","0","1","1","1","0","1","0","1",1
"AULLAN CENTRO",0.6386,2243.62,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",0
"LAS TORRES",0.4159,2165.94,"NO_ANIMAL_INTRA","PATIO",20,0,17,0,2,0,0,0,"0","0","1","1",1,3,"NO","0",8,0,1,0,"1","0","0","0","0","0","1","0","0",4
"LAS TORRES",0.3749,2147.43,"COCINA","PATIO",0,0,0,12,0,0,1,0,"0","1","0","0",2,1,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",3
"AULLAN CENTRO",0.6584,2177.26,"CORRAL","NO_ANIMAL_PERI",0,0,0,20,0,0,0,0,"0","1","0","0",1,1,"SI","0",0,0,0,0,"1","0","0","0","1","1","0","0","1",2
"AULLAN CENTRO",0.6386,2248.54,"CORRAL","PATIO",10,0,0,49,2,0,1,0,"0","1","1","0",1,2,"NO","0",3,0,1,0,"1","0","0","0","0","0","1","0","0",3
"AULLAN CENTRO",0.6386,2250.23,"SALON CONSISTORIAL","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","1",1,0,1,0,"1","0","0","1","0","0","0","0","1",0
"LAS TORRES",0.3749,2146.37,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",2,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","1","0","1",2
"LAS TORRES",0.4159,2195.2,"DEPOSITO","BAÑO",10,0,0,18,0,0,0,0,"0","1","1","0",1,0,"NO","0",4,0,1,0,"1","0","0","0","0","0","1","0","1",1
"LAS TORRES",0.3749,2169.72,"SALA","COCINA",0,0,0,5,1,0,0,0,"0","1","0","0",0,1,"NO","0",0,0,0,0,"1","0","0","0","0","1","0","0","1",1
"AULLAN CENTRO",0.6584,2254.88,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","1",1,0,1,0,"1","0","0","1","0","0","0","0","1",0
"LAS TORRES",0.2611,2170.48,"COCINA","CORRAL",10,0,0,8,0,0,0,0,"0","1","1","0",1,2,"NO","0",0,0,0,0,"1","0","0","0","0","0","1","0","1",3
"CARPACHACA",0.5677,2313.74,"NO_ANIMAL_INTRA","PATIO",20,0,20,0,2,0,0,0,"0","0","1","1",1,1,"NO","0",0,0,0,0,"1","0","0","0","0","0","1","0","1",2
